metro	country	region	ismetro	location.code	gdpusc_2000	gdpusc_2001	gdpusc_2002	gdpusc_2003	gdpusc_2004	gdpusc_2005	gdpusc_2006	gdpusc_2007	gdpusc_2008	gdpusc_2009	gdpusc_2010	gdpusc_2011	gdpusc_2012	gdpusc_2013	gdpusc_2014	gdpusc_2015	gdpusc_2016	gdpusc_2017	gdpppp_2000	gdpppp_2001	gdpppp_2002	gdpppp_2003	gdpppp_2004	gdpppp_2005	gdpppp_2006	gdpppp_2007	gdpppp_2008	gdpppp_2009	gdpppp_2010	gdpppp_2011	gdpppp_2012	gdpppp_2013	gdpppp_2014	gdpppp_2015	gdpppp_2016	gdpppp_2017	poptot_2000	poptot_2001	poptot_2002	poptot_2003	poptot_2004	poptot_2005	poptot_2006	poptot_2007	poptot_2008	poptot_2009	poptot_2010	poptot_2011	poptot_2012	poptot_2013	poptot_2014	poptot_2015	poptot_2016	poptot_2017
Madrid	Spain	Western Europe	1	ESM01	216502.407	226386.3617	232413.0958	240363.3528	249176.6099	260970.5796	274040.4778	285293.278	290146.9471	283601.9001	283876.6087	285569.6838	280795.0425	276037.809	280106.0013	290886.58	301770.5684	312603.6214	175562.0525	187948.2508	196770.2603	207094.3757	219954.5165	235609.2207	254942.6196	271902.8916	281954.0777	279755.8235	280512.9275	287660.3453	287767.3695	287255.6205	296701.4565	309992.059	325022.7974	342057.9134	5509.605816	5585.756405	5719.264008	5868.314004	5987.383974	6086.9207	6198.267067	6341.949901	6474.331915	6551.561038	6587.398409	6615.058121	6625.251306	6600.119529	6584.095865	6606.565445	6632.783395	6644.943258
Manchester	United Kingdom	Western Europe	1	UKM04	73395.83492	77420.56892	79558.09441	81736.19086	86005.96075	88163.26563	91825.40715	93286.93059	91517.91984	89266.35573	90300.0014	89144.67916	90980.8327	94272.07179	95240.98102	97897.04034	100496.8151	102466.0216	54896.61578	59823.00687	62343.9225	65510.55963	70342.17366	74035.85273	79214.0521	82611.67755	82289.19696	81371.33438	83411.12332	83747.66713	86938.90755	91298.15463	93686.11608	97950.61794	101786.7782	105436.4712	2424.5535	2424.87064	2432.216741	2447.996336	2460.770418	2475.082608	2493.673263	2509.922794	2529.667265	2548.607486	2569.553341	2590.909922	2607.58546	2620.639126	2638.151999	2660.894826	2684.766591	2700.514272
Manila	Philippines	Emerging Asia-Pacific	1	PHM01	38137.60162	39111.20921	39921.61738	42140.6069	45805.27705	48804.91466	52131.68997	56218.03236	58973.85324	59679.7274	64221.40818	66234.9079	70811.95813	77303.35784	81818.19061	87284.20045	93803.18796	100322.1812	88360.12863	92853.98941	97191.39833	104973.0538	115510.5472	127313.14	140404.7906	155110.4821	163738.0581	167283.5161	183167.4518	192895.6261	212665.2295	239688.7068	257378.4087	282625.1747	308269.8888	343957.3606	10155.16993	10357.54856	10562.15364	10766.05247	10966.25932	11159.74084	11344.40758	11522.53194	11698.34451	11876.14811	12059.74248	12242.99311	12430.00086	12619.04574	12808.43089	12996.75506	13191.14072	13384.80034
Maoming, Guangdong	China	Emerging Asia-Pacific	1	CNM84	7206.455968	7228.075335	7965.33902	8865.422329	10124.3123	11552.18062	13157.93373	14881.62305	16347.46292	18024.71261	20367.92525	22563.58759	24955.32788	27842.65931	30738.29588	33197.35955	35459.53115	37592.98259	17871.10274	19715.23583	21861.84258	24144.12865	25686.97422	28436.46269	32270.85925	35266.26787	38449.79606	39177.50281	44929.41058	49557.1623	54685.09707	60671.99621	66599.0006	71887.35196	77818.19677	83752.56613	5316.812946	5508.910334	5572.505605	5648.703076	5904.850429	6037.063742	6034.801587	6051.696989	6033.091966	5931.467921	5822.453849	5882.6	5975.937205	6012.5	6049.005641	6080.794395	6164.077488	6216.759667
Marseille-Aix	France	Western Europe	1	FRM04	61714.98316	63305.23934	62726.07399	63834.33465	66846.6251	68569.82025	70514.38754	70743.23778	71125.91874	70068.61972	73027.05559	73419.4806	76268.15795	74515.24458	75153.18013	75704.75336	76834.57162	78455.29609	41712.4451	43848.46323	44241.86023	45935.81783	49598.17564	52594.66608	55801.53545	57553.25411	59101.7687	58789.55367	62016.51968	63556.94793	67126.5292	66739.89816	68570.07098	69950.99618	71972.83921	74882.42026	1543.654799	1556.049193	1568.484571	1580.671318	1593.19823	1606.636367	1623.20698	1634.061226	1637.239561	1640.092703	1642.175211	1648.227127	1654.556699	1661.911969	1670.331816	1677.968764	1682.494915	1686.480016
Mashhad	Iran	Middle East and Africa	1	IRM02	17267.83959	18266.73849	19893.6587	21821.5691	23564.7844	24499.49637	26114.15008	28974.87872	30010.00748	30540.13445	32747.23607	34179.69877	32200.2242	32390.19542	34255.16301	34303.23589	38401.51327	40371.87841	43281.39364	45473.08944	49760.02614	56142.29894	61196.49032	67248.37858	73758.43641	82307.09495	86454.65139	88620.54886	96424.83039	102665.0253	96951.79132	98251.95466	104604.1462	105702.3214	119068.1154	118554.5938	2103.3694	2157.3605	2211.3516	2265.3427	2319.3338	2373.3249	2427.316	2491.7276	2556.1392	2620.5508	2684.9624	2749.374	2818.993613	2890.376041	2963.56664	3038.234819	3112.464561	3185.095776
Mecca	Saudi Arabia	Middle East and Africa	1	SUM03	20135.368	18533.98194	18963.47411	21343.84408	23236.46383	24497.84008	25064.67027	26257.7758	28691.07495	27599.77706	28927.664	32623.20872	33468.74826	35400.88596	36106.34459	38697.43433	39843.6433	40259.58095	44181.56997	41745.92014	43497.70822	49664.37354	55468.24539	60250.56243	63300.30265	68051.91754	77354.39003	73835.41629	77215.29841	87286.36537	93108.22763	99088.34638	105072.0924	112398.535	116823.0169	127557.7934	1272.158296	1303.620782	1335.906984	1368.991842	1402.944	1444.830788	1489.85183	1536.276047	1584.211695	1633.507432	1684.408	1748.006316	1813.926	1869.840316	1927.479481	1958.959358	1990.16264	2021.572815
Medan	Indonesia	Emerging Asia-Pacific	1	IDM04	6237.43483	6468.167929	6870.401579	7388.59768	7976.695187	8569.458325	9287.909539	10023.69468	10846.82629	11317.1871	12107.84609	12972.75743	13794.21279	14651.5575	15580.45762	16488.8823	17458.61011	18470.50552	18007.07995	19279.25939	21134.74341	23533.2534	25718.29026	27724.527	30171.55964	32461.47876	34596.30268	36398.24128	40043.36094	43248.36825	46973.70996	51533.09607	56211.16854	60694.69605	66589.57919	71502.3154	3811.456009	3850.849856	3890.692375	3930.987151	3971.748608	4013.030092	4055.020537	4097.65214	4140.580838	4183.446947	4226.030435	4264.805717	4303.096165	4340.167366	4375.266917	4407.771844	4437.775036	4465.710922
Medina	Saudi Arabia	Middle East and Africa	1	SUM04	14802.63352	12633.17594	11554.30778	13448.28547	15205.71739	16704.14007	17764.39477	18069.52869	18305.057	17192.36543	18629.47682	21651.62105	22771.09842	21861.72415	21666.15015	22533.58913	23033.13661	23109.83601	32843.72261	28882.32968	26694.76333	31588.48978	36462.77983	41274.57065	45513.27694	46724.14281	49165.57614	45993.32292	50770.24639	61265.24078	62946.96646	59052.505	61611.67072	66647.36703	69582.80233	75446.2432	867.3884542	897.7655092	929.2502202	961.8404045	995.619	1025.099263	1054.95595	1085.670348	1117.31664	1149.770405	1183.205	1221.742026	1261.533602	1302.62037	1345.046179	1369.253746	1393.203559	1417.170483
Melbourne	Australia	Advanced Asia-Pacific	1	AUM02	137034.566	139838.7406	147120.4577	150243.4354	158156.876	164462.4678	167578.5066	173341.4963	179366.0731	183296.088	187522.4096	193264.8482	197834.2795	199637.0315	205248.2243	212425.6532	220500.9613	227847.4263	103098.1484	107267.4465	112940.1683	118880.4741	128594.1592	136173.9542	141822.5248	150908.0099	155097.088	165588.7465	167170.221	173319.2587	183640.1905	187761.7143	197661.4684	208395.5572	218214.9501	228242.9268	3468.012772	3511.193026	3552.297061	3600.870918	3650.065872	3706.080761	3772.128881	3853.034587	3945.162901	4041.656402	4113.330818	4183.706049	4282.399548	4389.498409	4500.462338	4614.286952	4739.9946	4859.992911
Memphis, TN-MS-AR	United States	North America	1	USM39	59899.67985	60092.32759	61988.07685	63050.27464	64590.85504	64733.1835	64992.29963	65136.56679	63917.10983	61120.6297	62204.78049	61667.55377	61700.6358	61131.75002	60893.31891	61435.01289	62757.80836	63618.80452	47696.52789	49134.98194	51600.71715	53340.06323	56129.01997	57979.58659	60054.41668	62108.12263	62291.69178	61120.6297	62895.65698	63444.35175	65185.63106	65872.17849	67027.69038	69443.26398	72126.06375	74338.76813	1214.261063	1223.71375	1233.924688	1245.831	1257.599	1270.7685	1288.7865	1300.85675	1309.65525	1316.96975	1325.13175	1331.564	1338.46875	1340.41525	1341.37925	1341.93625	1342.92	1346.20375
Mexico City	Mexico	Latin America	1	MXM01	176607.2667	174822.7741	174319.1799	175236.8369	181419.7287	184989.9686	194452.2069	198308.3952	201159.748	193656.4116	202938.5565	211026.6961	218974.9311	223109.8586	228883.4481	237240.2846	246975.2936	254632.9217	261928.8495	266457.1423	271063.5135	287901.239	300016.533	317898.6199	337684.5689	354702.9529	360686.84	360964.0454	377990.5166	393274.9492	414053.0474	437359.516	452727.6544	473437.3939	490622.8536	507513.4322	17954.86297	18223.84247	18449.40419	18658.74723	18853.67715	19039.57607	19253.35749	19469.99487	19691.89595	19910.62306	20117	20318.6611	20518.76166	20715.51643	20908.79522	21098.46762	21284.62631	21467.65149
Miami-Fort Lauderdale-West Palm Beach, FL	United States	North America	1	USM11	224722.0994	226982.2213	233977.3716	240502.3261	252399.4635	273867.4591	281745.8616	280580.5308	266966.9799	244405.9782	247558.1868	247942.2707	254163.1825	251051.5115	268232.3945	281829.715	287299.4084	293819.2571	180226.0368	187598.7913	197230.612	206546.2448	222854.1926	248626.2743	263863.2824	270385.6865	261583.4935	244405.9782	250428.625	254340.2703	266562.0582	268221.1085	292822.2544	316138.2429	327986.1855	340834.7795	5013.59575	5100.265625	5185.032063	5254.28375	5327.044	5398.28925	5425.838	5426.23275	5451.824	5500.23575	5576.494	5681.36075	5768.9645	5847.00525	5920.9415	5992.35125	6057.08175	6106.601
Milano	Italy	Western Europe	1	ITM01	352076.9967	358926.6132	363252.7662	365286.3857	368161.861	374645.6111	379787.4715	385224.9691	394850.8493	372597.208	390966.7217	392148.9991	381882.8855	374213.1688	377901.6443	382060.2426	387436.0539	394385.1679	269207.2209	280429.4262	287313.1544	293653.6823	304569.9901	318958.6796	331636.8477	345873.6609	361211.8982	342430.4283	363143.793	371441.5468	367890.0732	366797.6141	379237.8675	386815.1109	396210.4109	410046.0971	6926.429084	6944.182758	6961.645113	7004.672493	7086.646308	7158.993467	7205.609386	7254.437287	7312.656955	7372.127881	7429.012234	7478.141681	7541.630652	7622.097962	7673.964719	7693.148712	7713.433351	7749.52229
Milwaukee-Waukesha-West Allis, WI	United States	North America	1	USM40	77224.92148	77750.78088	78141.82811	80694.36353	82341.17328	85255.08585	88123.12307	88290.79163	88099.38973	85059.60414	86968.42673	89341.4731	90214.86533	91386.39116	92604.91689	89975.54019	90219.31616	90646.16445	63499.66529	65214.95771	66640.58863	69761.00975	73005.18697	77658.657	82421.91701	84623.26347	85720.78422	85059.60414	87447.33161	90908.86863	93915.71743	96994.55894	100234.7543	100067.9102	102054.137	104029.7996	1501.566375	1506.787188	1513.283063	1518.87525	1521.82825	1522.46925	1524.03425	1529.74125	1537.492	1547.9285	1555.7415	1560.911	1566.4975	1570.34225	1573.129	1574.0935	1572.9685	1575.2045
Minneapolis-St. Paul-Bloomington, MN-WI	United States	North America	1	USM12	174528.6025	176597.3315	179029.5827	186715.637	193609.1278	199637.1558	197883.6216	200289.6162	199158.3221	191509.2149	195803.4447	201579.8507	202872.5856	206175.0212	213105.7482	216708.6308	219792.6692	226931.0754	142690.4199	147411.0462	151766.7415	160837.7771	171517.4118	182351.5181	186219.1196	193818.0746	195338.5348	191509.2149	197981.1048	207712.4354	213855.4051	220934.3636	232576.5857	242139.8625	248961.8406	260638.6485	3037.746875	3080.57575	3112.357	3140.0905	3168.257	3196.164	3229.94725	3264.98175	3297.148	3326.601	3353.133	3385.20075	3418.58525	3453.85125	3487.24075	3515.3485	3546.953	3581.6895
Monterrey	Mexico	Latin America	1	MXM02	52020.44955	50975.38838	49991.30514	51080.71481	54082.61817	56400.64915	60472.67802	64114.11483	65336.32581	61343.68382	66196.43498	68935.36857	72237.46962	72186.3469	74198.69757	77265.8128	77994.1231	81426.9586	78217.51619	77417.22939	76740.84531	81902.15714	89908.3891	96317.21139	106654.0987	115232.8173	119900.3193	114340.982	122820.4706	127927.3554	137078.9374	137903.9811	143242.5764	150968.9383	152853.5272	162231.8718	3443.482882	3517.155803	3580.043053	3639.475424	3695.960306	3749.944146	3817.653625	3885.604275	3954.490368	4023.119462	4090	4153.908421	4216.012755	4278.52539	4341.312996	4403.865871	4466.157186	4528.235806
Montreal	Canada	North America	1	CAM02	122020.9107	122447.2083	126990.6835	127974.6802	129778.7907	132163.4426	134369.8513	137583.3943	137844.091	136471.2294	140640.4843	140971.1435	143101.0641	148821.331	151342.0217	153068.4606	157413.6468	161947.6096	96443.68673	99216.37474	104364.9809	106470.9253	109840.3501	114003.4804	119780.4266	125116.9255	124430.9244	128893.1202	132740.825	134281.2081	138916.326	146747.4161	150837.2249	158999.1078	167205.4586	173328.4848	3494.719611	3528.739522	3565.296563	3596.446938	3624.88875	3651.818063	3680.543625	3711.32175	3746.911438	3791.276375	3836.90575	3880.745563	3928.664813	3974.593813	4013.941375	4046.696438	4088.646965	4129.291557
Moscow	Russia	Eastern Europe and Central Asia	1	RUM01	183363.4003	187572.7915	204625.0244	222053.0826	237387.6143	263949.2287	291665.6348	315959.636	338560.7299	294433.5651	298506.1168	303011.3664	313693.0218	316813.8539	316327.4394	302752.8497	302126.8841	308247.7403	332790.129	339008.6286	381783.6893	421092.7006	465536.0584	574277.5522	652566.0034	745108.8406	810521.8537	688365.8256	728397.6531	770187.3921	784493.434	829139.0548	841475.3394	797132.5176	811896.3116	825734.0904	10277.41225	10439.98118	10561.06407	10709.76058	10898.75298	11108.10287	11285.50716	11379.03629	11469.88873	11561.98545	11720.31429	11834.55995	11936.8092	12053.45072	12150.44947	12246.72506	12317.87032	12387.71858
Mumbai	India	Emerging Asia-Pacific	1	INM01	27397.03902	28538.1203	30395.54295	33087.50247	36518.06906	38248.2812	42656.88031	46213.82964	49211.89379	50624.15047	55998.71175	60066.5756	63702.27327	67139.82365	72323.48796	78847.38566	85091.59653	91232.83107	83317.1454	91596.68934	98618.8642	111762.2915	126596.6689	133730.4531	153533.3494	173567.9517	187056.445	195201.06	212193.8956	231691.1175	248117.7012	265775.6042	291553.5666	312950.9437	340316.9837	370039.5918	16053.91175	16434.386	16622.60659	16812.55382	17004.61872	17197.65261	17392.81256	17589.72164	17788.78431	17988.79824	18190.97389	18394.912	18699.53339	19009.19988	19323.99438	19605.10646	19898.4246	20208.64637
Munchen-Augsburg	Germany	Western Europe	1	DEM03	215063.6069	224466.5749	225775.0983	220269.4099	223540.6897	226903.8389	234279.7684	244265.0764	239196.2089	229560.4106	235689.3163	250683.8898	255315.4273	258302.7761	263134.5132	268817.7696	274592.8164	283231.3223	161231.3262	171319.9391	175407.8018	174117.7332	182217.1875	190429.2184	202590.3637	216457.1303	215507.4159	208884.4332	216634.9398	234135.4941	242850.1491	248859.6306	258324.3232	267235.3852	276517.7879	289522.3399	3438.93163	3483.462417	3517.836351	3543.59616	3563.112605	3585.7094	3617.502583	3652.011661	3679.654655	3695.94289	3719.064138	3761.398407	3808.927684	3857.910959	3905.428739	3958.91693	4025.837816	4087.877966
Muscat	Oman	Middle East and Africa	1	OMM01	16936.93328	17704.32385	17480.93392	17048.39529	17269.73514	17734.22735	18664.74597	19574.79377	21215.37262	22452.03214	23402.32646	22845.73855	24648.44954	25297.84667	25496.46619	26752.73953	27156.60053	27242.42653	36399.35294	38844.8256	38965.26698	38804.60604	40505.52517	42959.92478	46696.85432	50197.73786	55562.05213	59088.66275	62371.99284	62400.73461	68734.53663	71974.25656	73904.04824	76066.01425	79113.89339	83540.63446	604.4329927	613.5005275	622.7170794	632.073	647.2943095	667.1176338	687.5761529	708.6621702	730.4249302	752.7933493	775.878	799.2843934	823.3964532	848.2367693	873.8257802	901.4661717	931.0783414	961.5241869
Nagoya	Japan	Advanced Asia-Pacific	1	JPM03	372347.5467	377527.6877	384386.2846	391225.4028	404806.1226	418959.8718	435221.4942	451298.2607	432427.106	401166.5926	414032.6367	419236.6114	438458.8661	448018.8949	449164.7742	457360.6	463110.6739	475122.2346	251360.8601	261547.2256	271249.8878	281364.3984	297474.0343	316775.5882	338632.8101	358764.9233	347280.1629	326207.8382	339950.0963	349053.4453	373736.1326	392097.3294	401730.4319	413952.106	424042.8941	442131.2062	8771.408549	8806.325595	8843.443375	8877.203908	8916.159289	8967.662144	9013.679072	9055.033215	9090.375021	9096.911048	9082.881212	9092.155676	9106.772157	9118.431438	9124.390972	9127.314804	9134.774246	9135.934224
Nanchang, Jiangxi	China	Emerging Asia-Pacific	1	CNM38	7766.2752	8705.994499	9907.42174	11443.07211	13331.17901	15570.81708	17922.01046	20682.00007	23784.30008	26900.04339	30666.04947	34652.6359	38984.21538	43342.65066	47590.23043	52158.89255	56964.12074	60847.32357	17049.29649	19046.77497	21831.35911	25131.29904	29124.72951	35691.74755	41588.46044	46484.77831	52412.56811	58468.42323	66249.11735	76348.61629	84754.86775	93697.99576	103992.9121	114511.719	125935.272	137225.675	4448.308527	4513.462215	4577.948769	4637.574459	4695.387249	4751.417491	4808.112582	4866.647701	4928.234316	4990.616484	5048.7553	5100.788163	5140.869261	5184.234669	5240.178192	5302.482427	5336.988601	5360.425314
Nanjing, Jiangsu	China	Emerging Asia-Pacific	1	CNM10	19439.81119	21597.63024	23951.77193	27544.53772	32309.74275	37188.5139	42803.9795	49524.20428	55516.633	61928.80411	70016.70593	78418.71064	87593.69979	97447.99101	107290.2381	117268.2302	126277.4502	134677.4155	37759.11638	42594.32123	48489.21707	58546.55878	68161.95633	85397.73736	97434.67081	109821.7234	119184.7699	134604.9698	154477.3883	174480.4977	203399.7637	225024.2739	250082.9996	278284.8249	302818.228	328927.0062	6110.461675	6307.449963	6469.354849	6631.654944	6796.582594	6977.2953	7191.353399	7408.589668	7607.01667	7802.636552	8007.0467	8088.098839	8161	8187.8	8216.1	8235.9	8259.125356	8289.6631
Nanning, Guangxi	China	Emerging Asia-Pacific	1	CNM43	7227.698204	7863.735646	8720.882832	9671.45906	10948.09166	12415.13594	14451.21823	16936.82777	19392.66779	22320.96063	25490.53704	28931.75954	32490.36596	36389.20988	39482.29272	42877.76989	46079.53993	49510.31537	13833.74174	15179.94244	16729.54977	18667.72678	21016.32073	25618.63936	30568.58236	35752.12917	41555.54594	48515.58617	54208.94228	62792.31945	70699.33647	78734.25707	89259.66616	97623.57287	106361.3985	116143.097	6594.682139	6553.88682	6511.342621	6467.60184	6423.251101	6378.770501	6437.783783	6496.462356	6554.723153	6612.472421	6669.772299	6734	6790.8	6853.7	6913.8	6986.1	7049.415792	7077.161235
Nantong, Jiangsu	China	Emerging Asia-Pacific	1	CNM40	13052.91679	14371.26138	16009.58518	18154.8696	20987.02925	24219.03176	28021.41975	32560.88974	36891.48808	42056.29641	47523.61494	53273.97235	59560.30109	65832.00079	72744.36088	79727.81952	86085.45913	91961.59913	26794.0121	29513.72638	32681.75729	36925.94185	43277.39401	52197.62027	61235.04823	70638.93644	79258.02982	91411.20341	104357.0167	115866.6853	128754.2023	141525.6739	160263.3873	173709.5198	188630.7151	205390.9454	7493.66098	7498.227452	7457.542251	7415.20621	7373.725157	7346.816867	7351.091801	7353.805564	7333.746239	7307.702116	7286.627546	7295.84564	7297.3	7297.7	7298	7300	7325.134127	7355.726183
Nanyang, Henan	China	Emerging Asia-Pacific	1	CNM75	9003.392573	9894.728438	10854.5171	12070.22301	13953.1778	15836.8568	17998.58776	20356.40275	22817.49185	25099.24103	28010.75299	31147.95733	34293.90102	36615.59811	39727.92395	43303.43711	46609.43218	49377.23515	19212.90377	21339.07461	23359.25898	26894.6733	31883.04964	37313.92281	42262.84656	46029.8093	51665.57164	54554.30038	58818.74696	62527.11657	66110.84735	70195.06478	75856.96566	81595.82369	88657.79128	95449.23159	9960.217529	9996.991204	10031.04005	10063.14296	10094.16519	10124.83853	10155.11749	10184.51337	10212.9034	10240.15103	10266.36274	10185.12142	10142.05219	10087.16031	10084.67251	10120.4299	10174.89461	10169.66438
Napoli	Italy	Western Europe	1	ITM04	113304.8496	115376.5979	116542.9722	115794.8841	116130.8311	116452.422	118162.0546	119284.2912	117815.1255	111848.9128	109183.757	107567.1966	105119.247	101659.2075	102732.0806	102768.2163	103269.6503	104421.7612	83693.58886	87830.61206	90048.37658	91073.99955	94429.02055	98220.80576	102702.2136	106141.5738	107052.65	102989.8417	102449.2463	103038.2569	102844.2065	101119.3995	103516.1711	104660.382	106490.3553	109650.5916	4380.993259	4375.680147	4372.013595	4379.32238	4400.02602	4416.274405	4423.793277	4435.151048	4446.612626	4461.804982	4478.2292	4491.50636	4503.705851	4513.069055	4513.215578	4508.417922	4501.995892	4495.060066
Nashville-Davidson--Murfreesboro--Franklin, TN	United States	North America	1	USM41	67749.05012	68254.49089	70460.79761	73237.83593	77237.5223	78953.24384	82279.037	81416.82132	83386.10113	80105.91124	81971.48674	86068.66026	92347.18534	95462.26087	99861.2182	105749.4133	110332.2724	114872.7164	56415.64757	58078.45364	61055.52658	64287.12625	69172.02434	72354.92965	77089.14214	78178.66391	81224.87447	80105.91124	82631.10746	87677.78967	96273.82101	101186.3978	107973.4835	117703.541	125218.8175	132629.256	1384.114375	1406.275625	1425.7495	1447.6395	1475.1715	1507.77925	1547.94125	1587.2185	1622.1525	1650.481	1673.31075	1695.8505	1723.719	1754.64025	1788.80225	1824.505	1860.7985	1897.665
New Orleans-Metairie, LA	United States	North America	1	USM42	70165.71834	71847.5679	72425.48234	74928.24298	76857.91962	76519.14741	71206.03582	67639.91338	67586.32603	67919.86572	71226.50217	65225.76561	65721.11259	61865.72752	64152.74033	67388.88109	68460.64973	69019.41927	50045.903	52353.8498	52231.23335	58776.63346	64253.15053	71775.92982	70851.68479	70177.64685	72734.79798	67919.86572	75763.11503	75419.99586	77399.34526	72704.61336	76501.72142	78336.88893	77791.55199	78488.62011	1339.437375	1344.175875	1353.399125	1363.96025	1375.891	1363.15225	1108.6245	1088.3	1130.432	1163.577	1191.578	1211.50225	1226.272	1239.19175	1249.97625	1260.4625	1268.016	1273.137
New York-Newark-Jersey City, NY-NJ-PA	United States	North America	1	USM13	1142841.055	1168945.682	1168580.23	1174096.773	1207389.536	1255961.095	1291118.019	1309381.737	1270858.911	1276440.042	1321883.531	1325584.059	1364227.949	1367417.637	1391526.926	1420055.953	1427410.755	1449440.853	930541.0294	973616.3083	991060.3689	1014743.778	1074148.034	1149450.1	1215997.247	1270655.723	1257140.776	1276440.042	1338445.1	1363841.801	1439268.368	1477088.187	1543807.426	1619254.423	1663262.578	1720042.649	18955.57531	19090.31819	19182.43081	19238.7	19251.04	19230.87	19207.7325	19235.8275	19327.7075	19452.92	19585.5075	19730.06	19849.725	19954.48	20040.7125	20107.945	20152.1425	20227.32
Ningbo, Zhejiang	China	Emerging Asia-Pacific	1	CNM18	21661.27838	24282.29306	27487.55575	31775.61444	36700.83468	41325.13985	46945.35887	53940.21734	59398.96734	63378.69815	71301.03542	78431.13896	84548.7678	91574.77041	98534.45296	106417.2092	113793.3165	120617.3102	43465.3938	48602.1874	56062.38004	66358.80893	77005.23676	86746.30705	100965.9541	114870.5769	125140.8511	137756.3781	155451.5028	172047.9569	185906.3961	200246.2078	215742.8501	229126.2119	247110.5942	267327.3725	6076.116243	6170.026724	6286.275959	6402.867872	6530.800266	6735.299488	6925.719698	7116.289995	7281.337097	7448.689554	7611.028378	7628	7639	7662.860625	7811	7825	7895.461436	7937.634997
Noord-Brabant	Netherlands	Western Europe	1	NLM02	97704.8899	99192.4983	97301.35562	97525.04424	100108.2149	103124.8821	107923.2172	111138.8919	113014.3506	107594.324	111880.4976	115900.8044	114584.244	113793.3664	115977.8665	119967.9347	122946.7774	127114.1875	69356.07806	71588.58561	71236.18562	72531.72305	76633.06683	80888.05522	86696.73114	91758.57894	94458.67213	90739.16103	95437.54102	100471.1843	100808.3936	101715.4279	106192.2101	111339.6009	116536.8562	122343.7963	2042.680854	2057.852281	2068.714947	2075.724386	2080.582574	2084.481112	2087.646554	2091.478058	2098.11345	2106.219828	2114.762287	2123.395116	2130.819824	2137.889541	2145.764372	2154.438837	2160.752804	2164.517759
Nurnberg-Furth	Germany	Western Europe	1	DEM09	69368.95819	68849.81623	70619.69511	69373.21798	71732.85192	71043.15926	73841.58048	76122.50225	78155.61612	75018.06927	77725.52748	81722.02262	83282.6545	83781.12857	85517.30679	86815.58142	88583.71273	90829.33102	52392.07565	52782.58051	55051.46448	55017.10538	58421.31121	59587.46354	63648.83128	67236.17574	70110.24954	68261.36458	71363.06074	76289.64862	79404.49793	81000.82097	84156.38335	86450.56677	89332.96822	93143.26223	1603.198532	1610.496576	1617.750604	1621.780335	1624.466687	1627.935161	1630.202197	1631.903148	1632.464256	1631.151799	1631.551928	1637.176001	1646.258256	1655.019732	1663.014804	1678.273103	1699.403037	1716.441793
Okayama	Japan	Advanced Asia-Pacific	1	JPM08	62201.83549	62953.14079	63195.34206	63465.09948	63468.30691	65386.61013	69468.45235	70254.81653	68513.25793	63942.76208	65708.12488	66778.79762	67155.90822	69133.94687	68892.71821	69671.30773	70169.03547	71330.09091	41231.14636	42854.57342	43915.16425	45025.80609	46460.71926	49335.92876	53672.3607	55597.49204	55120.96495	51994.93321	54073.952	55677.80769	56562.2329	58734.97082	59437.00935	60785.98467	61988.21697	64065.04789	1646.865149	1646.992333	1648.723154	1649.861441	1651.290016	1651.567453	1650.005099	1649.114331	1646.550768	1643.969619	1640.273126	1638.891299	1637.529407	1634.053588	1629.291509	1624.912427	1618.533674	1613.659177
Oklahoma City, OK	United States	North America	1	USM43	45890.95963	46706.24476	47872.60591	50468.62779	50232.35029	51245.58774	52782.53251	53379.63507	54207.27205	55520.31666	55953.14556	57263.02363	59145.8208	61826.00768	63518.04213	67804.32007	65146.75798	65806.55836	35765.12503	37156.41867	38573.76431	42700.30079	44324.06471	47873.83331	50986.93226	53383.23103	56917.13646	55520.31666	57721.92998	60628.97452	63354.77209	67692.05319	70704.62781	72202.88323	69657.18574	72157.48825	1096.967813	1107.684813	1120.493188	1132.82975	1144.4285	1159.6835	1179.72525	1197.53925	1214.78225	1235.07775	1255.33875	1274.49	1295.289	1317.327	1335.00675	1354.1965	1371.29225	1389.236
Oresund	Denmark	Western Europe	1	DKM01	152120.5867	154924.523	154329.7913	155890.0516	160880.6727	167948.8477	172581.2496	177331.0897	175816.9828	168372.0084	175533.0454	177596.8148	180105.1295	183240.4835	187985.543	192508.4546	197281.2443	201649.8967	92715.0105	96234.08976	97666.95765	100696.1258	107329.6561	115027.1904	120131.7846	126410.5493	126992.2432	123565.5547	131434.5038	133914.8639	137977.3237	143330.4302	151043.9447	157551.8152	163075.1193	169557.2891	2735.077709	2747.50589	2760.220588	2772.327871	2784.370935	2797.660447	2814.986351	2835.775839	2861.493082	2891.527485	2920.808659	2946.91936	2971.379549	2997.458277	3027.298395	3060.985372	3090.454544	3112.756566
